card_id,client_id,card_brand,card_type,card_number,cvv,has_chip,num_cards_issued,credit_limit,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
5144.0,1718.0,Mastercard,Debit,5495199163052054.0,677.0,YES,2.0,$31599,81.0,67.0,1938.0,11.0,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698.0,5.0
2029.0,1718.0,Mastercard,Debit,5804499644308599.0,258.0,NO,2.0,$27480,81.0,67.0,1938.0,11.0,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698.0,5.0
2379.0,1718.0,Mastercard,Debit,5766352389579834.0,992.0,YES,1.0,$26743,81.0,67.0,1938.0,11.0,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698.0,5.0
2732.0,1718.0,Visa,Debit,4242015583697294.0,928.0,YES,1.0,$31463,81.0,67.0,1938.0,11.0,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698.0,5.0
4706.0,1718.0,Mastercard,Debit,5191030913182493.0,360.0,YES,1.0,$16055,81.0,67.0,1938.0,11.0,Female,766 Third Drive,34.02,-117.89,$22681,$33483,$196,698.0,5.0
281.0,708.0,Visa,Credit,4017261190134817.0,877.0,YES,2.0,$98100,63.0,63.0,1957.0,1.0,Female,3 Madison Street,40.71,-73.99,$163145,$249925,$202328,722.0,4.0
1106.0,708.0,Mastercard,Debit (Prepaid),5581970288727991.0,448.0,YES,1.0,$62,63.0,63.0,1957.0,1.0,Female,3 Madison Street,40.71,-73.99,$163145,$249925,$202328,722.0,4.0
5621.0,708.0,Visa,Debit,4032240655674503.0,53.0,YES,1.0,$132439,63.0,63.0,1957.0,1.0,Female,3 Madison Street,40.71,-73.99,$163145,$249925,$202328,722.0,4.0
5165.0,708.0,Visa,Debit,4935974646456357.0,649.0,YES,1.0,$125723,63.0,63.0,1957.0,1.0,Female,3 Madison Street,40.71,-73.99,$163145,$249925,$202328,722.0,4.0
5757.0,1164.0,Mastercard,Debit,5905027855347659.0,886.0,YES,1.0,$34900,43.0,70.0,1976.0,9.0,Male,9620 Valley Stream Drive,37.76,-122.44,$53797,$109687,$183855,675.0,1.0
27.0,68.0,Visa,Credit,4099623033306950.0,74.0,YES,2.0,$9900,42.0,70.0,1977.0,10.0,Male,58 Birch Lane,41.55,-90.6,$20599,$41997,$0,704.0,3.0
4648.0,68.0,Visa,Debit,4281200324251212.0,865.0,YES,2.0,$21587,42.0,70.0,1977.0,10.0,Male,58 Birch Lane,41.55,-90.6,$20599,$41997,$0,704.0,3.0
5435.0,68.0,Visa,Credit,4411456925570768.0,922.0,YES,2.0,$15800,42.0,70.0,1977.0,10.0,Male,58 Birch Lane,41.55,-90.6,$20599,$41997,$0,704.0,3.0
3287.0,1075.0,Mastercard,Debit,5202477865497336.0,861.0,YES,1.0,$29964,36.0,67.0,1983.0,12.0,Female,5695 Fifth Street,38.22,-85.74,$25258,$51500,$102286,672.0,3.0
4761.0,1075.0,Mastercard,Credit,5089768442116305.0,686.0,YES,2.0,$11200,36.0,67.0,1983.0,12.0,Female,5695 Fifth Street,38.22,-85.74,$25258,$51500,$102286,672.0,3.0
5286.0,1075.0,Mastercard,Debit,5767339719294372.0,669.0,NO,2.0,$26753,36.0,67.0,1983.0,12.0,Female,5695 Fifth Street,38.22,-85.74,$25258,$51500,$102286,672.0,3.0
744.0,1711.0,Visa,Debit,4595831603224644.0,689.0,NO,2.0,$17480,26.0,67.0,1993.0,12.0,Male,1941 Ninth Street,45.51,-122.64,$26790,$54623,$114711,728.0,1.0
5559.0,1116.0,Mastercard,Debit,5341049613275152.0,396.0,YES,2.0,$26546,81.0,66.0,1938.0,7.0,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755.0,5.0
4905.0,1116.0,Mastercard,Debit,5668831527649353.0,356.0,YES,1.0,$23253,81.0,66.0,1938.0,7.0,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755.0,5.0
79.0,1116.0,Visa,Credit,4400056931148232.0,497.0,YES,1.0,$16100,81.0,66.0,1938.0,7.0,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755.0,5.0
301.0,1116.0,Visa,Credit,4808554251869440.0,921.0,YES,2.0,$8700,81.0,66.0,1938.0,7.0,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755.0,5.0
3115.0,1116.0,Mastercard,Debit,5224739362243611.0,922.0,YES,1.0,$29333,81.0,66.0,1938.0,7.0,Female,11 Spruce Avenue,40.32,-75.32,$26273,$42509,$2895,755.0,5.0
3880.0,1752.0,Mastercard,Debit,5294178176133532.0,265.0,YES,2.0,$9496,34.0,60.0,1986.0,1.0,Female,887 Grant Street,29.97,-92.12,$18730,$38190,$81262,810.0,1.0
1766.0,192.0,Visa,Debit,4857799018106614.0,930.0,YES,1.0,$25499,27.0,66.0,1992.0,6.0,Male,888 Fifth Lane,38.65,-121.25,$27548,$56164,$15224,761.0,2.0
1767.0,192.0,Visa,Debit,4324062360619923.0,358.0,YES,1.0,$18641,27.0,66.0,1992.0,6.0,Male,888 Fifth Lane,38.65,-121.25,$27548,$56164,$15224,761.0,2.0
745.0,640.0,Visa,Debit,4852639114720724.0,995.0,YES,1.0,$26019,29.0,63.0,1990.0,9.0,Female,8677 Littlewood Lane,40.42,-104.74,$22427,$45727,$94016,629.0,1.0
1459.0,1679.0,Mastercard,Debit,5656383455895230.0,547.0,YES,1.0,$25845,18.0,67.0,2002.0,1.0,Female,829 Fourth Boulevard,41.76,-71.48,$33914,$69149,$89214,776.0,1.0
138.0,1094.0,Visa,Debit,4556928160477229.0,64.0,YES,2.0,$2365,34.0,62.0,1985.0,10.0,Male,74786 Jefferson Drive,44.75,-85.6,$20325,$41442,$78833,712.0,3.0
3755.0,1094.0,Mastercard,Debit,5515782790823587.0,419.0,YES,2.0,$18684,34.0,62.0,1985.0,10.0,Male,74786 Jefferson Drive,44.75,-85.6,$20325,$41442,$78833,712.0,3.0
1768.0,1094.0,Visa,Credit,4508388296516458.0,364.0,NO,2.0,$7400,34.0,62.0,1985.0,10.0,Male,74786 Jefferson Drive,44.75,-85.6,$20325,$41442,$78833,712.0,3.0
5924.0,1590.0,Mastercard,Debit,5548265564669334.0,145.0,YES,2.0,$4147,48.0,62.0,1971.0,5.0,Female,781 East Street,29.45,-98.5,$10059,$20513,$32509,599.0,1.0
6074.0,1660.0,Visa,Debit (Prepaid),4986270376099447.0,385.0,YES,1.0,$76,41.0,68.0,1978.0,4.0,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723.0,6.0
5923.0,1660.0,Discover,Credit,6726060094896113.0,105.0,NO,1.0,$4700,41.0,68.0,1978.0,4.0,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723.0,6.0
4223.0,1660.0,Visa,Credit,4157109762296149.0,433.0,YES,2.0,$5800,41.0,68.0,1978.0,4.0,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723.0,6.0
4455.0,1660.0,Mastercard,Debit,5231462717450524.0,754.0,YES,2.0,$12082,41.0,68.0,1978.0,4.0,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723.0,6.0
3234.0,1660.0,Mastercard,Credit,5074836567307562.0,741.0,NO,2.0,$6000,41.0,68.0,1978.0,4.0,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723.0,6.0
1005.0,1660.0,Visa,Debit,4986369179342271.0,367.0,YES,1.0,$620,41.0,68.0,1978.0,4.0,Female,40 Washington Drive,36.73,-102.51,$11342,$23123,$5079,723.0,6.0
151.0,1747.0,Mastercard,Debit,5892013969159900.0,879.0,YES,1.0,$14499,54.0,71.0,1966.0,1.0,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719.0,6.0
4198.0,1747.0,Mastercard,Debit,5179157151686144.0,457.0,YES,2.0,$12332,54.0,71.0,1966.0,1.0,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719.0,6.0
4403.0,1747.0,Mastercard,Debit,5569640141329524.0,904.0,YES,1.0,$18424,54.0,71.0,1966.0,1.0,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719.0,6.0
4120.0,1747.0,Visa,Credit,4708914311449293.0,149.0,NO,1.0,$15400,54.0,71.0,1966.0,1.0,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719.0,6.0
4224.0,1747.0,Visa,Debit,4795724941278913.0,136.0,YES,2.0,$14548,54.0,71.0,1966.0,1.0,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719.0,6.0
4895.0,1747.0,Mastercard,Credit,5300159511214994.0,740.0,YES,2.0,$10100,54.0,71.0,1966.0,1.0,Male,3994 Hillside Drive,32.15,-94.79,$17898,$36497,$38333,719.0,6.0
1028.0,153.0,Discover,Credit,6580244636542196.0,416.0,YES,1.0,$11200,76.0,71.0,1943.0,8.0,Female,172 Birch Street,35.29,-111.32,$21950,$27484,$16803,660.0,4.0
5956.0,153.0,Mastercard,Debit,5032457975030967.0,240.0,YES,2.0,$20291,76.0,71.0,1943.0,8.0,Female,172 Birch Street,35.29,-111.32,$21950,$27484,$16803,660.0,4.0
107.0,153.0,Visa,Debit,4382324870900908.0,852.0,YES,1.0,$32092,76.0,71.0,1943.0,8.0,Female,172 Birch Street,35.29,-111.32,$21950,$27484,$16803,660.0,4.0
440.0,153.0,Mastercard,Debit,5456808094753905.0,217.0,YES,1.0,$20463,76.0,71.0,1943.0,8.0,Female,172 Birch Street,35.29,-111.32,$21950,$27484,$16803,660.0,4.0
746.0,429.0,Visa,Debit,4465362453388909.0,738.0,YES,1.0,$15802,22.0,68.0,1997.0,11.0,Male,8145 Spruce Boulevard,35.19,-80.83,$26481,$53995,$89056,683.0,3.0
1769.0,429.0,Visa,Debit,4668447208616693.0,314.0,NO,2.0,$4612,22.0,68.0,1997.0,11.0,Male,8145 Spruce Boulevard,35.19,-80.83,$26481,$53995,$89056,683.0,3.0
421.0,429.0,Discover,Credit,6377595394803324.0,675.0,YES,2.0,$19900,22.0,68.0,1997.0,11.0,Male,8145 Spruce Boulevard,35.19,-80.83,$26481,$53995,$89056,683.0,3.0
974.0,511.0,Mastercard,Debit (Prepaid),5117090980312402.0,42.0,YES,1.0,$73,66.0,68.0,1953.0,10.0,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661.0,5.0
4707.0,511.0,Mastercard,Debit,5377858405611171.0,24.0,YES,1.0,$11858,66.0,68.0,1953.0,10.0,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661.0,5.0
7.0,511.0,Mastercard,Debit,5585238056278288.0,749.0,YES,1.0,$9664,66.0,68.0,1953.0,10.0,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661.0,5.0
2212.0,511.0,Mastercard,Debit,5355281784290567.0,810.0,YES,1.0,$8367,66.0,68.0,1953.0,10.0,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661.0,5.0
1038.0,511.0,Visa,Credit,4150093118072730.0,135.0,YES,2.0,$6100,66.0,68.0,1953.0,10.0,Male,153 Tenth Lane,32.21,-110.88,$17460,$35602,$55369,661.0,5.0
1460.0,309.0,Mastercard,Debit,5979295728871785.0,630.0,YES,3.0,$9944,28.0,57.0,1991.0,8.0,Male,2473 Lake Avenue,32.07,-82.91,$12321,$25122,$43205,819.0,3.0
747.0,309.0,Visa,Credit,4473643731469839.0,771.0,YES,1.0,$7900,28.0,57.0,1991.0,8.0,Male,2473 Lake Avenue,32.07,-82.91,$12321,$25122,$43205,819.0,3.0
1770.0,309.0,Visa,Credit,4800116569994473.0,201.0,YES,1.0,$5600,28.0,57.0,1991.0,8.0,Male,2473 Lake Avenue,32.07,-82.91,$12321,$25122,$43205,819.0,3.0
748.0,777.0,Visa,Debit,4832328468851061.0,580.0,YES,1.0,$68400,18.0,65.0,2002.0,1.0,Male,970 Essex Drive,37.37,-122.21,$106305,$216740,$0,700.0,2.0
441.0,777.0,Mastercard,Debit,5278075482033392.0,437.0,YES,2.0,$77237,18.0,65.0,2002.0,1.0,Male,970 Essex Drive,37.37,-122.21,$106305,$216740,$0,700.0,2.0
3679.0,1946.0,Visa,Debit,4869845530765333.0,701.0,YES,2.0,$4488,76.0,66.0,1943.0,6.0,Male,9186 Washington Avenue,41.47,-81.67,$19524,$41109,$21486,698.0,2.0
5701.0,1946.0,Visa,Credit,4231526239204033.0,499.0,YES,2.0,$12500,76.0,66.0,1943.0,6.0,Male,9186 Washington Avenue,41.47,-81.67,$19524,$41109,$21486,698.0,2.0
4510.0,1674.0,Mastercard,Debit,5813611925507601.0,734.0,YES,2.0,$23432,70.0,64.0,1949.0,4.0,Male,5073 Wessex Avenue,35.49,-90.35,$14172,$26858,$11245,712.0,2.0
2873.0,1674.0,Amex,Credit,366520954874839.0,447.0,YES,2.0,$8800,70.0,64.0,1949.0,4.0,Male,5073 Wessex Avenue,35.49,-90.35,$14172,$26858,$11245,712.0,2.0
1461.0,482.0,Mastercard,Credit,5392697458480962.0,886.0,YES,2.0,$12100,45.0,65.0,1975.0,1.0,Male,195 Eighth Boulevard,42.39,-122.93,$17131,$34929,$63849,714.0,1.0
442.0,877.0,Mastercard,Debit,5048151330736425.0,931.0,YES,1.0,$9708,36.0,63.0,1983.0,8.0,Female,801 Mill Boulevard,33.44,-111.85,$16829,$34317,$61826,610.0,3.0
3877.0,877.0,Amex,Credit,371643368691556.0,683.0,YES,2.0,$12000,36.0,63.0,1983.0,8.0,Female,801 Mill Boulevard,33.44,-111.85,$16829,$34317,$61826,610.0,3.0
2296.0,877.0,Mastercard,Debit,5700734711260263.0,230.0,YES,1.0,$11973,36.0,63.0,1983.0,8.0,Female,801 Mill Boulevard,33.44,-111.85,$16829,$34317,$61826,610.0,3.0
5048.0,128.0,Mastercard,Debit,5389442391430673.0,658.0,YES,2.0,$13601,40.0,66.0,1979.0,4.0,Female,6914 Wessex Avenue,29.76,-95.38,$15389,$31377,$59615,722.0,2.0
1462.0,128.0,Mastercard,Credit,5079116875907423.0,849.0,YES,2.0,$7800,40.0,66.0,1979.0,4.0,Female,6914 Wessex Avenue,29.76,-95.38,$15389,$31377,$59615,722.0,2.0
4269.0,775.0,Visa,Debit,4390425683290569.0,790.0,YES,2.0,$17816,37.0,58.0,1982.0,9.0,Male,776 Norfolk Boulevard,34.17,-118.46,$21402,$43638,$104052,627.0,1.0
5188.0,1536.0,Mastercard,Debit,5217568630125704.0,625.0,NO,2.0,$17707,41.0,67.0,1978.0,11.0,Male,2015 Bayview Avenue,36.15,-85.5,$15955,$32531,$38260,766.0,2.0
2874.0,1536.0,Amex,Credit,397856635669220.0,2.0,YES,1.0,$9500,41.0,67.0,1978.0,11.0,Male,2015 Bayview Avenue,36.15,-85.5,$15955,$32531,$38260,766.0,2.0
3041.0,140.0,Mastercard,Debit,5529182104663869.0,182.0,YES,1.0,$19110,37.0,72.0,1983.0,2.0,Female,108 Washington Street,36.28,-86.83,$20657,$42120,$72801,739.0,4.0
5312.0,140.0,Mastercard,Debit,5489017664251289.0,196.0,YES,1.0,$13428,37.0,72.0,1983.0,2.0,Female,108 Washington Street,36.28,-86.83,$20657,$42120,$72801,739.0,4.0
4150.0,140.0,Mastercard,Debit,5793675314684781.0,43.0,YES,1.0,$24608,37.0,72.0,1983.0,2.0,Female,108 Washington Street,36.28,-86.83,$20657,$42120,$72801,739.0,4.0
152.0,140.0,Mastercard,Debit,5845373196638993.0,111.0,YES,1.0,$13441,37.0,72.0,1983.0,2.0,Female,108 Washington Street,36.28,-86.83,$20657,$42120,$72801,739.0,4.0
443.0,1884.0,Mastercard,Debit (Prepaid),5750288075891808.0,788.0,YES,2.0,$74,18.0,64.0,2001.0,5.0,Male,660 Seventh Drive,39.98,-82.98,$28092,$57281,$89114,850.0,1.0
3377.0,1874.0,Mastercard,Debit,5429789020188285.0,674.0,YES,1.0,$17872,49.0,66.0,1970.0,9.0,Male,7505 Tenth Boulevard,25.77,-80.2,$18828,$38390,$87923,783.0,4.0
5789.0,1874.0,Mastercard,Credit,5301114615829913.0,425.0,YES,1.0,$12900,49.0,66.0,1970.0,9.0,Male,7505 Tenth Boulevard,25.77,-80.2,$18828,$38390,$87923,783.0,4.0
2106.0,1874.0,Mastercard,Debit,5571104183564029.0,52.0,YES,2.0,$25264,49.0,66.0,1970.0,9.0,Male,7505 Tenth Boulevard,25.77,-80.2,$18828,$38390,$87923,783.0,4.0
2078.0,1874.0,Mastercard,Debit,5401948301255038.0,920.0,YES,2.0,$20634,49.0,66.0,1970.0,9.0,Male,7505 Tenth Boulevard,25.77,-80.2,$18828,$38390,$87923,783.0,4.0
5866.0,1310.0,Visa,Credit,4295364044956974.0,656.0,YES,2.0,$12200,33.0,69.0,1986.0,9.0,Female,4930 Birch Drive,33.92,-78.02,$17498,$35670,$58182,751.0,2.0
173.0,1310.0,Visa,Credit,4737484014371342.0,221.0,YES,2.0,$5500,33.0,69.0,1986.0,9.0,Female,4930 Birch Drive,33.92,-78.02,$17498,$35670,$58182,751.0,2.0
1771.0,1689.0,Visa,Credit,4509365132510769.0,281.0,NO,2.0,$6600,21.0,66.0,1998.0,9.0,Female,93 Plum Lane,41.29,-72.36,$30281,$61746,$154817,637.0,2.0
6132.0,1689.0,Mastercard,Debit,5068255294282305.0,890.0,YES,1.0,$25815,21.0,66.0,1998.0,9.0,Female,93 Plum Lane,41.29,-72.36,$30281,$61746,$154817,637.0,2.0
327.0,379.0,Amex,Credit,354813103334804.0,527.0,YES,2.0,$8400,47.0,65.0,1972.0,11.0,Female,837 Lincoln Avenue,30.68,-88.04,$21331,$43496,$114563,765.0,3.0
2019.0,379.0,Mastercard,Debit,5910929635230868.0,525.0,YES,1.0,$21628,47.0,65.0,1972.0,11.0,Female,837 Lincoln Avenue,30.68,-88.04,$21331,$43496,$114563,765.0,3.0
3881.0,379.0,Mastercard,Debit,5400182448188961.0,412.0,YES,1.0,$24232,47.0,65.0,1972.0,11.0,Female,837 Lincoln Avenue,30.68,-88.04,$21331,$43496,$114563,765.0,3.0
1166.0,34.0,Mastercard,Debit,5039048842448184.0,339.0,YES,2.0,$10775,41.0,55.0,1978.0,8.0,Male,7467 Spruce Drive,38.48,-121.34,$25431,$51854,$72162,737.0,2.0
3342.0,34.0,Mastercard,Debit (Prepaid),5672012369002302.0,598.0,YES,2.0,$105,41.0,55.0,1978.0,8.0,Male,7467 Spruce Drive,38.48,-121.34,$25431,$51854,$72162,737.0,2.0
5622.0,822.0,Visa,Credit,4336733185475861.0,221.0,NO,2.0,$7100,51.0,68.0,1968.0,4.0,Female,6323 Sussex Boulevard,32.61,-117.03,$16942,$34540,$22641,793.0,5.0
5424.0,822.0,Mastercard,Debit,5985582173054292.0,951.0,YES,1.0,$29351,51.0,68.0,1968.0,4.0,Female,6323 Sussex Boulevard,32.61,-117.03,$16942,$34540,$22641,793.0,5.0
2558.0,822.0,Mastercard,Debit,5281056728185174.0,835.0,YES,2.0,$15125,51.0,68.0,1968.0,4.0,Female,6323 Sussex Boulevard,32.61,-117.03,$16942,$34540,$22641,793.0,5.0
5385.0,822.0,Mastercard,Credit,5615660494634705.0,865.0,YES,2.0,$8000,51.0,68.0,1968.0,4.0,Female,6323 Sussex Boulevard,32.61,-117.03,$16942,$34540,$22641,793.0,5.0
5596.0,822.0,Mastercard,Debit (Prepaid),5314878099448745.0,994.0,YES,1.0,$83,51.0,68.0,1968.0,4.0,Female,6323 Sussex Boulevard,32.61,-117.03,$16942,$34540,$22641,793.0,5.0
3991.0,1499.0,Amex,Credit,311095486859536.0,536.0,YES,2.0,$23700,46.0,62.0,1973.0,11.0,Male,8738 Fourth Street,41.97,-88.14,$20248,$41287,$88151,662.0,1.0
6126.0,1780.0,Visa,Credit,4624747592911129.0,986.0,YES,2.0,$700,46.0,70.0,1973.0,10.0,Male,9344 Mill Drive,36.62,-121.82,$18663,$38054,$63293,666.0,1.0
3756.0,1806.0,Mastercard,Debit,5595562388674401.0,594.0,YES,2.0,$7488,59.0,62.0,1961.0,2.0,Female,299 11th Street,42.31,-71.64,$39418,$80371,$108499,822.0,1.0
971.0,811.0,Visa,Credit,4171022488649333.0,225.0,NO,1.0,$24900,91.0,68.0,1929.0,2.0,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741.0,7.0
2079.0,811.0,Mastercard,Debit,5246337038556761.0,638.0,YES,2.0,$30971,91.0,68.0,1929.0,2.0,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741.0,7.0
387.0,811.0,Amex,Credit,399966116933253.0,343.0,YES,1.0,$24400,91.0,68.0,1929.0,2.0,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741.0,7.0
444.0,811.0,Mastercard,Debit,5064137987234665.0,599.0,YES,2.0,$53549,91.0,68.0,1929.0,2.0,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741.0,7.0
5277.0,811.0,Visa,Debit,4905540969337037.0,573.0,YES,1.0,$53036,91.0,68.0,1929.0,2.0,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741.0,7.0
4358.0,811.0,Mastercard,Debit,5703849820939467.0,300.0,YES,1.0,$35750,91.0,68.0,1929.0,2.0,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741.0,7.0
2318.0,811.0,Visa,Debit,4055403312631050.0,902.0,YES,1.0,$33375,91.0,68.0,1929.0,2.0,Female,5492 Maple Drive,38.9,-94.68,$51642,$84694,$2149,741.0,7.0
6019.0,1844.0,Visa,Debit (Prepaid),4587476056357151.0,858.0,YES,2.0,$22,79.0,72.0,1941.0,2.0,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706.0,5.0
4421.0,1844.0,Discover,Credit,6521426249819196.0,608.0,YES,1.0,$13100,79.0,72.0,1941.0,2.0,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706.0,5.0
3702.0,1844.0,Visa,Debit,4199712815274632.0,440.0,YES,1.0,$16516,79.0,72.0,1941.0,2.0,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706.0,5.0
2854.0,1844.0,Mastercard,Credit,5172743861765175.0,906.0,YES,1.0,$15700,79.0,72.0,1941.0,2.0,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706.0,5.0
4114.0,1844.0,Mastercard,Debit,5214643602729093.0,474.0,YES,1.0,$21058,79.0,72.0,1941.0,2.0,Male,829 Birch Boulevard,27.8,-97.39,$23608,$37503,$14272,706.0,5.0
28.0,1852.0,Visa,Debit,4013876625955765.0,543.0,YES,2.0,$36425,57.0,75.0,1962.0,12.0,Male,41011 Seventh Boulevard,33.27,-111.94,$32056,$65357,$21844,685.0,4.0
6127.0,1852.0,Visa,Debit (Prepaid),4966050979388902.0,585.0,YES,2.0,$91,57.0,75.0,1962.0,12.0,Male,41011 Seventh Boulevard,33.27,-111.94,$32056,$65357,$21844,685.0,4.0
2477.0,1852.0,Mastercard,Credit,5247576622089394.0,379.0,YES,1.0,$13400,57.0,75.0,1962.0,12.0,Male,41011 Seventh Boulevard,33.27,-111.94,$32056,$65357,$21844,685.0,4.0
2632.0,1852.0,Mastercard,Credit,5911319900289832.0,37.0,YES,2.0,$21600,57.0,75.0,1962.0,12.0,Male,41011 Seventh Boulevard,33.27,-111.94,$32056,$65357,$21844,685.0,4.0
1463.0,1231.0,Mastercard,Debit,5058769177189803.0,12.0,NO,1.0,$9090,26.0,52.0,1994.0,1.0,Female,613 Little Creek Lane,26.41,-81.42,$10819,$22066,$38967,842.0,1.0
5679.0,970.0,Visa,Debit,4682877628388639.0,846.0,NO,1.0,$25942,42.0,66.0,1977.0,11.0,Male,1942 Rose Avenue,29.1,-81.0,$21916,$44681,$42011,770.0,3.0
1012.0,970.0,Mastercard,Credit,5882842508952744.0,614.0,YES,2.0,$10700,42.0,66.0,1977.0,11.0,Male,1942 Rose Avenue,29.1,-81.0,$21916,$44681,$42011,770.0,3.0
1464.0,970.0,Mastercard,Credit,5637149260486793.0,630.0,YES,2.0,$4900,42.0,66.0,1977.0,11.0,Male,1942 Rose Avenue,29.1,-81.0,$21916,$44681,$42011,770.0,3.0
1465.0,381.0,Mastercard,Credit,5115700923413241.0,587.0,NO,1.0,$18100,26.0,69.0,1994.0,2.0,Male,5101 Birch Lane,38.72,-90.47,$25163,$51306,$68198,675.0,1.0
388.0,1134.0,Amex,Credit,324640473359364.0,659.0,YES,2.0,$7200,18.0,59.0,2002.0,2.0,Female,7 11th Drive,29.45,-98.5,$12677,$25847,$46379,568.0,1.0
3708.0,1296.0,Mastercard,Debit,5033428838471726.0,546.0,YES,2.0,$22660,60.0,64.0,1959.0,11.0,Female,2468 Spruce Drive,28.7,-81.34,$22896,$46683,$93126,788.0,5.0
3087.0,1296.0,Discover,Credit,6969946254132652.0,588.0,YES,1.0,$19800,60.0,64.0,1959.0,11.0,Female,2468 Spruce Drive,28.7,-81.34,$22896,$46683,$93126,788.0,5.0
67.0,1296.0,Mastercard,Credit,5181226307106931.0,820.0,YES,2.0,$15500,60.0,64.0,1959.0,11.0,Female,2468 Spruce Drive,28.7,-81.34,$22896,$46683,$93126,788.0,5.0
